"filename", "language", "JSON with Comments", "CSS", "HTML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 12, 70
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-new-admin\tipousuario-new-admin.component.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 1, 16, 86
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 2, 64
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-plist-admin\tipousuario-plist-admin.component.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 1, 15, 87
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-remove-admin\tipousuario-remove-admin.component.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-view-admin\tipousuario-view-admin.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-view-admin\tipousuario-view-admin.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-view-admin\tipousuario-view-admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\routed\admin\tipousuario-view-admin\tipousuario-view-admin.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 9, 38
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\unrouted\tipousuario-detail-admin-unrouted\tipousuario-detail-admin-unrouted.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\tipousuario\unrouted\tipousuario-detail-admin-unrouted\tipousuario-detail-admin-unrouted.component.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 3, 15
